"Time","P1"
2022-05-03 01:00:00,0.0805
2022-05-03 02:00:00,0.0604
2022-05-03 03:00:00,0.0432
2022-05-03 04:00:00,0.0526
2022-05-03 05:00:00,0.0584
2022-05-03 06:00:00,0.0911
2022-05-03 07:00:00,0.159
2022-05-03 08:00:00,0.190
2022-05-03 09:00:00,0.185
2022-05-03 10:00:00,0.171
2022-05-03 11:00:00,0.177
2022-05-03 12:00:00,0.187
2022-05-03 13:00:00,0.149
2022-05-03 14:00:00,0.150
2022-05-03 15:00:00,0.145
2022-05-03 16:00:00,0.170
2022-05-03 17:00:00,0.190
2022-05-03 18:00:00,0.203
2022-05-03 19:00:00,0.251
2022-05-03 20:00:00,0.327
2022-05-03 21:00:00,0.327
2022-05-03 22:00:00,0.276
2022-05-03 23:00:00,0.202
2022-05-04 00:00:00,0.122
2022-05-04 01:00:00,0.0733
2022-05-04 02:00:00,0.0670
2022-05-04 03:00:00,0.0548
2022-05-04 04:00:00,0.0521
2022-05-04 05:00:00,0.0562
2022-05-04 06:00:00,0.0847
2022-05-04 07:00:00,0.158
2022-05-04 08:00:00,0.172
2022-05-04 09:00:00,0.181
2022-05-04 10:00:00,0.176
2022-05-04 11:00:00,0.165
2022-05-04 12:00:00,0.181
2022-05-04 13:00:00,0.157
2022-05-04 14:00:00,0.130
2022-05-04 15:00:00,0.154
2022-05-04 16:00:00,0.155
2022-05-04 17:00:00,0.183
2022-05-04 18:00:00,0.181
2022-05-04 19:00:00,0.268
2022-05-04 20:00:00,0.319
2022-05-04 21:00:00,0.319
2022-05-04 22:00:00,0.286
2022-05-04 23:00:00,0.214
2022-05-05 00:00:00,0.124
2022-05-05 01:00:00,0.0765
2022-05-05 02:00:00,0.0676
2022-05-05 03:00:00,0.0606
2022-05-05 04:00:00,0.0544
2022-05-05 05:00:00,0.0534
2022-05-05 06:00:00,0.0763
2022-05-05 07:00:00,0.156
2022-05-05 08:00:00,0.178
2022-05-05 09:00:00,0.195
2022-05-05 10:00:00,0.177
2022-05-05 11:00:00,0.168
2022-05-05 12:00:00,0.176
2022-05-05 13:00:00,0.169
2022-05-05 14:00:00,0.151
2022-05-05 15:00:00,0.151
2022-05-05 16:00:00,0.140
2022-05-05 17:00:00,0.189
2022-05-05 18:00:00,0.191
2022-05-05 19:00:00,0.242
2022-05-05 20:00:00,0.312
2022-05-05 21:00:00,0.306
2022-05-05 22:00:00,0.282
2022-05-05 23:00:00,0.213
2022-05-06 00:00:00,0.130
2022-05-06 01:00:00,0.0902
2022-05-06 02:00:00,0.0668
2022-05-06 03:00:00,0.0525
2022-05-06 04:00:00,0.0521
2022-05-06 05:00:00,0.0520
2022-05-06 06:00:00,0.0717
2022-05-06 07:00:00,0.145
2022-05-06 08:00:00,0.185
2022-05-06 09:00:00,0.183
2022-05-06 10:00:00,0.179
2022-05-06 11:00:00,0.172
2022-05-06 12:00:00,0.178
2022-05-06 13:00:00,0.168
2022-05-06 14:00:00,0.168
2022-05-06 15:00:00,0.183
2022-05-06 16:00:00,0.157
2022-05-06 17:00:00,0.177
2022-05-06 18:00:00,0.193
2022-05-06 19:00:00,0.213
2022-05-06 20:00:00,0.272
2022-05-06 21:00:00,0.278
2022-05-06 22:00:00,0.252
2022-05-06 23:00:00,0.203
2022-05-07 00:00:00,0.137
2022-05-07 01:00:00,0.101
2022-05-07 02:00:00,0.0666
2022-05-07 03:00:00,0.0685
2022-05-07 04:00:00,0.0473
2022-05-07 05:00:00,0.0530
2022-05-07 06:00:00,0.0593
2022-05-07 07:00:00,0.0844
2022-05-07 08:00:00,0.141
2022-05-07 09:00:00,0.206
2022-05-07 10:00:00,0.230
2022-05-07 11:00:00,0.242
2022-05-07 12:00:00,0.214
2022-05-07 13:00:00,0.213
2022-05-07 14:00:00,0.197
2022-05-07 15:00:00,0.180
2022-05-07 16:00:00,0.191
2022-05-07 17:00:00,0.200
2022-05-07 18:00:00,0.219
2022-05-07 19:00:00,0.276
